"pertanyaan","jawaban"
"Jumlah Penduduk","📊 *DATA RESMI: JUMLAH PENDUDUK KABUPATEN BANGKA*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>• *Tahun 2025 (Jumlah Penduduk):* *346.069 Jiwa* _(Proyeksi SP2020)_<br>• *Tahun 2024 (Jumlah Penduduk):* *341.069 Jiwa* _(Proyeksi SP2020)_<br>• *Tahun 2023 (Jumlah Penduduk):* *336.069 Jiwa* _(Proyeksi SP2020)_<br>• *Tahun 2022 (Jumlah Penduduk):* *331.165 Jiwa* _(Proyeksi SP2020)_<br>• *Tahun 2021 (Jumlah Penduduk):* *326.265 Jiwa* _(Hasil SP2020)_<br><br>📁 *Kategori:* Jumlah Penduduk<br>🏢 *Sumber Data:* BPS Kabupaten Bangka<br>💡 _Data resmi ini terupdate secara real-time dari Katalog SAPA BPS 1901._"
"Data Kemiskinan","📊 *DATA RESMI: PERSENTASE PENDUDUK MISKIN KABUPATEN BANGKA*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>• *Tahun 2025 (Persentase Kemiskinan):* *4,71 %* _(P1: 0.51 | P2: 0.09 | Miskin: 16.58 rb)_<br>• *Tahun 2024 (Persentase Kemiskinan):* *4,24 %* _(P1: 0.62 | P2: 0.14)_<br>• *Tahun 2023 (Persentase Kemiskinan):* *4,32 %* _(P1: 0.35 | P2: 0.04)_<br>• *Tahun 2022 (Persentase Kemiskinan):* *4,26 %* _(P1: 0.67 | P2: 0.15)_<br><br>📁 *Kategori:* Data Kemiskinan<br>🏢 *Sumber Data:* BPS Kabupaten Bangka<br>💡 _Data resmi ini terupdate secara real-time dari Katalog SAPA BPS 1901._"
"Pertumbuhan Ekonomi","📊 *DATA RESMI: PERTUMBUHAN EKONOMI TRIWULANAN LAPANGAN USAHA*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>• *Tahun 2025-Q3 (Pertumbuhan Ekonomi Triwulanan):* *4,96 %* _(Angka Sementara BPS)_<br>• *Tahun 2025-Q2 (Pertumbuhan Ekonomi Triwulanan):* *5,12 %* _(Angka Sementara BPS)_<br>• *Tahun 2025-Q1 (Pertumbuhan Ekonomi Triwulanan):* *4,85 %* _(Angka Sementara BPS)_<br><br>📁 *Kategori:* Pertumbuhan Ekonomi<br>🏢 *Sumber Data:* BPS Kabupaten Bangka<br>💡 _Data resmi ini terupdate secara real-time dari Katalog SAPA BPS 1901._"
"Indeks Pembangunan Manusia (IPM)","📊 *INDEKS PEMBANGUNAN MANUSIA (IPM) KAB. BANGKA*<br><br>🌟 *Tahun 2025:* IPM *75,38* *(Naik 0,96% dari 2024)*<br>• Umur Harapan Hidup (UHH): *73,56 tahun*<br>• Rata-rata Lama Sekolah (RLS): *8,77 tahun*<br>• Harapan Lama Sekolah (HLS): *13,13 tahun*<br>• Pengeluaran per Kapita: *Rp 13.411.000,- / tahun*<br><br>📈 *Perkembangan IPM Sebelumnya:*<br>• 2024: *74,66* | UHH: 73,24 | RLS: 8,45 | HLS: 13,12<br>• 2023: *74,34* | UHH: 73,03 | RLS: 8,32 | HLS: 13,11<br>• 2022: *73,62* | 2021: *73,13*"
"Tenaga Kerja","📊 *DATA KETENAGAKERJAAN KAB. BANGKA (2021-2025)*<br><br>💼 *Tahun 2025:*<br>• Tingkat Partisipasi Angkatan Kerja (TPAK): *67,93%*<br>• Tingkat Pengangguran Terbuka (TPT): *4,75%*<br><br>📉 *Tren TPT (Pengangguran):*<br>• 2021: TPAK 62,68% | TPT 5,97%<br>• 2022: TPAK 68,81% | TPT 5,39%<br>• 2023: TPAK 67,46% | TPT 5,03%<br>• 2024: TPAK 67,92% | TPT 4,91%<br>• 2025: TPAK 67,93% | TPT 4,75%"
"Produk Domestik Regional Bruto (PDRB)","📊 *DATA RESMI: PDRB ATAS DASAR HARGA BERLAKU KABUPATEN BANGKA*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>• *Tahun 2024 (PDRB ADHB):* *20.003,49 Miliar Rp* _(ADHK: 11.702,39 M)_<br>• *Tahun 2023 (PDRB ADHB):* *19.279,6 Miliar Rp* _(ADHK: 11.753,74 M)_<br>• *Tahun 2022 (PDRB ADHB):* *17.956,28 Miliar Rp* _(ADHK: 11.255,79 M)_<br>• *Tahun 2021 (PDRB ADHB):* *16.166,01 Miliar Rp* _(ADHK: 10.733,86 M)_<br><br>📁 *Kategori:* Produk Domestik Regional Bruto (PDRB)<br>🏢 *Sumber Data:* BPS Kabupaten Bangka<br>💡 _Data resmi ini terupdate secara real-time dari Katalog SAPA BPS 1901._"
"Indeks Pembangunan Gender (IPG)","⚖️ *INDEKS PEMBANGUNAN GENDER (IPG) KAB. BANGKA*<br><br>🌟 *Tahun 2025:* IPG tercatat sebesar *89,36* (naik dari 89,07 pada 2024).<br><br>📈 *Tren Perkembangan IPG (2020 – 2025):*<br>• *2025:* *89,36* ⬆️<br>• *2024:* *89,07*<br>• *2023:* *89,24*<br>• *2022:* *88,84*<br>• *2021:* *88,36*<br>• *2020:* *88,48*<br><br>💡 *Definisi & Makna Statistik BPS:*<br>• *IPG:* Mengukur rasio pencapaian IPM antara perempuan dan laki-laki pada dimensi kesehatan, pendidikan, dan ekonomi.<br>• Angka IPG yang semakin mendekati *100* menunjukkan kesetaraan pembangunan gender di Kabupaten Bangka semakin merata."
"Dimensi Pendidikan (RLS & HLS)","📚 *DIMENSI PENDIDIKAN KABUPATEN BANGKA (2021-2025)*<br><br>📖 *Harapan Lama Sekolah (HLS, tahun):*<br>• 2021: *12,78 tahun*<br>• 2022: *12,80 tahun*<br>• 2023: *13,11 tahun*<br>• 2024: *13,12 tahun*<br>• 2025: *13,13 tahun*<br><br>🎓 *Rata-Rata Lama Sekolah (RLS, tahun):*<br>• 2021: *8,25 tahun*<br>• 2022: *8,27 tahun*<br>• 2023: *8,32 tahun*<br>• 2024: *8,45 tahun*<br>• 2025: *8,77 tahun*<br><br>💡 *Definisi Resmi BPS:*<br>• *RLS:* Jumlah tahun yang dijalani penduduk usia 25 tahun ke atas dalam pendidikan formal.<br>• *HLS:* Lama sekolah yang diharapkan dirasakan anak usia 7 tahun ke atas di masa mendatang."
"Apa saja layanan BPS?","🏢 *LAYANAN RESMI BPS KABUPATEN BANGKA*<br><br>1. *Pelayanan Statistik Terpadu (PST):* Permintaan data & konsultasi statistik bagi masyarakat, mahasiswa/peneliti, dan instansi pemerintah.<br>2. *Publikasi Statistik:* Akses buku statistik & Berita Resmi Statistik (BRS) melalui portal bangkakab.bps.go.id.<br>3. *Rekomendasi Kegiatan Statistik:* Evaluasi rancangan survei (ROMANTIK).<br>4. *Konsultasi Statistik Sektoral:* Bimbingan teknis statistik bagi OPD / instansi pemerintah daerah.<br><br>💡 Untuk konsultasi langsung, silakan ketik *10* atau ketik *petugas*."
"Hubungi Petugas PST BPS","🏛️ *LAYANAN KONSULTASI STATISTIK TERPADU (PST)*<br>*Badan Pusat Statistik Kabupaten Bangka*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>🏢 *Alamat Kantor:*<br>Jl. Ahmad Yani Jalur Dua, Sungailiat, Kab. Bangka<br><br>⏰ *Jam Layanan:*<br>Senin – Jumat (08.00 – 15.30 WIB)<br><br>📞 *Kontak Resmi Petugas:*<br>• *Telepon / Fax:* (0717) 92492<br>• *Email:* bps1901@bps.go.id<br>• *Website Resmi:* http://bangkakab.bps.go.id<br><br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>💡 _Ketik *hubungi petugas PST BPS* di WhatsApp ini untuk langsung membuka tiket bantuan Customer Service resmi BPS Kab. Bangka._"
"Jl. Ahmad Yani Jalur Dua","Sungailiat"
"Jumlah Penduduk Kabupaten Bangka","📊 *DATA RESMI: JUMLAH PENDUDUK KABUPATEN BANGKA*<br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br>• *Tahun 2025 (Jumlah Penduduk):* *346.069 Jiwa* _(Proyeksi SP2020)_<br>• *Tahun 2024 (Jumlah Penduduk):* *341.069 Jiwa* _(Proyeksi SP2020)_<br>• *Tahun 2023 (Jumlah Penduduk):* *336.069 Jiwa* _(Proyeksi SP2020)_<br>• *Tahun 2022 (Jumlah Penduduk):* *331.165 Jiwa* _(Proyeksi SP2020)_<br>• *Tahun 2021 (Jumlah Penduduk):* *326.265 Jiwa* _(Hasil SP2020)_<br><br>📁 *Kategori:* Jumlah Penduduk<br>🏢 *Sumber Data:* BPS Kabupaten Bangka<br>💡 _Data resmi ini terupdate secara real-time dari Katalog SAPA BPS 1901._"
